País de origem,País de destino,Quantidade em litros,Valor em US$
Brasil,Afeganistão,0,0
Brasil,África do Sul,0,0
Brasil,"Alemanha, República Democrática",27715,138666
Brasil,Angola,33557,189891
Brasil,Anguilla,0,0
Brasil,Antígua e Barbuda,0,0
Brasil,Antilhas Holandesas,9810,12808
Brasil,Arábia Saudita,0,0
Brasil,Argélia,0,0
Brasil,Argentina,0,0
Brasil,Aruba,0,0
Brasil,Austrália,1823,17960
Brasil,Áustria,0,0
Brasil,Bahamas,3175,12759
Brasil,Bangladesh,0,0
Brasil,Barbados,0,0
Brasil,Barein,0,0
Brasil,Bélgica,42532,185411
Brasil,Belice,0,0
Brasil,Benin,0,0
Brasil,Bermudas,0,0
Brasil,Bolívia,54,282
Brasil,Bósnia-Herzegovina,0,0
Brasil,Brasil,0,0
Brasil,Bulgária,0,0
Brasil,Cabo Verde,11991,49366
Brasil,Camarões,0,0
Brasil,Canadá,0,0
Brasil,Catar,0,0
Brasil,"Cayman, Ilhas",0,0
Brasil,Chile,0,0
Brasil,China,795,2358
Brasil,Chipre,0,0
Brasil,Cingapura,1533,5504
Brasil,"Cocos (Keeling), Ilhas",0,0
Brasil,Colômbia,0,0
Brasil,Comores,0,0
Brasil,Congo,0,0
Brasil,"Coreia, Republica Sul",0,0
Brasil,Costa do Marfim,0,0
Brasil,Costa Rica,0,0
Brasil,Coveite (Kuweit),0,0
Brasil,Croácia,0,0
Brasil,Cuba,0,0
Brasil,Curaçao,0,0
Brasil,Dinamarca,7034,69161
Brasil,Dominica,0,0
Brasil,El Salvador,0,0
Brasil,Emirados Arabes Unidos,1035,3206
Brasil,Equador,0,0
Brasil,"Eslovaca, Republica",0,0
Brasil,Espanha,0,0
Brasil,Estados Unidos,228968,478630
Brasil,Estônia,15848,40778
Brasil,Filipinas,0,0
Brasil,Finlândia,0,0
Brasil,França,3614,18904
Brasil,Gabão,0,0
Brasil,Gana,0,0
Brasil,Gibraltar,0,0
Brasil,Granada,0,0
Brasil,Grécia,0,0
Brasil,Guatemala,0,0
Brasil,Guiana,783,3654
Brasil,Guiana Francesa,0,0
Brasil,Guine Bissau,0,0
Brasil,Guine Equatorial,410,1015
Brasil,Haiti,2700,3750
Brasil,Honduras,0,0
Brasil,Hong Kong,0,0
Brasil,Hungria,540,4103
Brasil,Ilha de Man,0,0
Brasil,Ilhas Virgens,0,0
Brasil,Índia,0,0
Brasil,Indonésia,0,0
Brasil,Irã,0,0
Brasil,Iraque,0,0
Brasil,Irlanda,3969,42795
Brasil,Itália,1458,4828
Brasil,Jamaica,0,0
Brasil,Japão,112178,74628
Brasil,Jordânia,0,0
Brasil,Letônia,0,0
Brasil,Líbano,0,0
Brasil,Libéria,0,0
Brasil,Luxemburgo,7344,32549
Brasil,Macau,0,0
Brasil,Malásia,0,0
Brasil,Malavi,0,0
Brasil,Malta,0,0
Brasil,"Marshall, Ilhas",0,0
Brasil,Martinica,0,0
Brasil,Mauritânia,0,0
Brasil,México,0,0
Brasil,Moçambique,0,0
Brasil,Montenegro,0,0
Brasil,Namíbia,0,0
Brasil,Nicarágua,0,0
Brasil,Nigéria,0,0
Brasil,Noruega,0,0
Brasil,Nova Caledônia,0,0
Brasil,Nova Zelândia,0,0
Brasil,Omã,0,0
Brasil,Países Baixos,87368,302182
Brasil,Palau,0,0
Brasil,Panamá,0,0
Brasil,Paraguai,510989,449197
Brasil,Peru,0,0
Brasil,Pitcairn,0,0
Brasil,Polônia,20464,95198
Brasil,Porto Rico,0,0
Brasil,Portugal,4577,18970
Brasil,Quênia,0,0
Brasil,Reino Unido,123624,295690
Brasil,República Dominicana,0,0
Brasil,Rússia,0,0
Brasil,São Cristóvão e Névis,0,0
Brasil,São Tomé e Príncipe,0,0
Brasil,São Vicente e Granadinas,0,0
Brasil,Senegal,0,0
Brasil,Serra Leoa,0,0
Brasil,Sérvia,0,0
Brasil,Singapura,0,0
Brasil,Suazilândia,0,0
Brasil,Suécia,0,0
Brasil,Suíça,2025,21600
Brasil,Suriname,1836,1269
Brasil,Tailândia,0,0
Brasil,Taiwan (Formosa),0,0
Brasil,Tanzânia,0,0
Brasil,"Tcheca, República",1091,5285
Brasil,Togo,0,0
Brasil,Toquelau,0,0
Brasil,Trinidade Tobago,0,0
Brasil,Tunísia,0,0
Brasil,Turquia,0,0
Brasil,Tuvalu,0,0
Brasil,Uruguai,914,2929
Brasil,Vanuatu,0,0
Brasil,Venezuela,0,0
Brasil,Vietnã,8820,9977
Brasil,Afeganistão,0,0
Brasil,África do Sul,0,0
Brasil,"Alemanha, República Democrática",36070,144150
Brasil,Angola,13889,69001
Brasil,Anguilla,0,0
Brasil,Antígua e Barbuda,0,0
Brasil,Antilhas Holandesas,7335,10188
Brasil,Arábia Saudita,0,0
Brasil,Argélia,0,0
Brasil,Argentina,13253,55460
Brasil,Aruba,900,1680
Brasil,Austrália,3632,40704
Brasil,Áustria,0,0
Brasil,Bahamas,4529,28810
Brasil,Bangladesh,0,0
Brasil,Barbados,0,0
Brasil,Barein,0,0
Brasil,Bélgica,11802,62339
Brasil,Belice,0,0
Brasil,Benin,0,0
Brasil,Bermudas,0,0
Brasil,Bolívia,12775,20215
Brasil,Bósnia-Herzegovina,0,0
Brasil,Brasil,0,0
Brasil,Bulgária,0,0
Brasil,Cabo Verde,600,825
Brasil,Camarões,0,0
Brasil,Canadá,28906,128076
Brasil,Catar,0,0
Brasil,"Cayman, Ilhas",0,0
Brasil,Chile,0,0
Brasil,China,54156,334867
Brasil,Chipre,0,0
Brasil,Cingapura,911,3317
Brasil,"Cocos (Keeling), Ilhas",0,0
Brasil,Colômbia,0,0
Brasil,Comores,0,0
Brasil,Congo,360,570
Brasil,"Coreia, Republica Sul",0,0
Brasil,Costa do Marfim,0,0
Brasil,Costa Rica,0,0
Brasil,Coveite (Kuweit),0,0
Brasil,Croácia,0,0
Brasil,Cuba,2880,4899
Brasil,Curaçao,0,0
Brasil,Dinamarca,32797,83057
