Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C)
31/01/2009;254,4;20,5
28/02/2009;141;21,7
31/03/2009;85,2;21
30/04/2009;24,4;18,4
31/05/2009;127;15,6
30/06/2009;81,8;11,2
31/07/2009;null;null
31/08/2009;null;16,9
30/09/2009;null;15,2
31/10/2009;137;16,9
30/11/2009;337,2;21,5
31/12/2009;216,6;21,3
31/01/2010;278,4;21,9
28/02/2010;161,4;23
31/03/2010;58,4;20,7
30/04/2010;136,4;17,6
31/05/2010;158,6;14,3
30/06/2010;128,2;13,1
31/07/2010;205,6;13
31/08/2010;50,6;13,3
30/09/2010;225,4;15,5
31/10/2010;50,8;16
30/11/2010;88,4;18,4
31/12/2010;89,6;20,9
31/01/2011;164,8;22,8
28/02/2011;221,6;21,6
31/03/2011;264,6;20
30/04/2011;147,8;17,8
31/05/2011;70;14,3
30/06/2011;178,6;11,6
31/07/2011;324,2;12,1
31/08/2011;null;13,3
30/09/2011;57,8;15
31/10/2011;100,2;17,5
30/11/2011;17,4;19,4
31/12/2011;69;20
31/01/2012;64,4;21,7
29/02/2012;173,2;23,3
31/03/2012;85,6;20,5
30/04/2012;74,2;17,3
31/05/2012;25,2;16,2
30/06/2012;53,6;13,1
31/07/2012;181,8;11,7
31/08/2012;66,4;17,3
30/09/2012;220;16
31/10/2012;155,4;18,8
30/11/2012;26;20,5
31/12/2012;217,2;22,9
31/01/2013;104,4;20,9
28/02/2013;105,8;21,2
31/03/2013;186,4;18,4
30/04/2013;106,8;17,7
31/05/2013;127,6;14,7
30/06/2013;141,6;13,1
31/07/2013;96,4;12,1
31/08/2013;303,8;12
30/09/2013;182,8;15,5
31/10/2013;121,6;16,9
30/11/2013;242,8;20
31/12/2013;133,6;22,2
31/01/2014;78,2;23,5
28/02/2014;206,2;23
31/03/2014;187,2;20,1
30/04/2014;127,8;18,1
31/05/2014;145,6;14,4
30/06/2014;242,8;13,2
31/07/2014;135,6;13,6
31/08/2014;113,6;14,9
30/09/2014;206,2;16,7
31/10/2014;174;18,9
30/11/2014;114,2;20,4
31/12/2014;292,4;21,3
31/01/2015;137;22,3
28/02/2015;130,4;21,6
31/03/2015;55,6;20,9
30/04/2015;136,6;18,3
31/05/2015;115;15,7
30/06/2015;203;13,6
31/07/2015;null;null
31/08/2015;null;null
30/09/2015;null;null
31/10/2015;null;17,1
30/11/2015;144,8;18,6
31/12/2015;168,4;21,2
31/01/2016;null;22,8
29/02/2016;null;22,7
31/03/2016;243,4;19,6
30/04/2016;259,6;19,9
31/05/2016;60;12,5
30/06/2016;6,8;9,9
31/07/2016;192,4;12,8
31/08/2016;110,2;14,5
30/09/2016;85;14,2
31/10/2016;367;17,1
30/11/2016;104,4;18,6
31/12/2016;78,8;21,6
31/01/2017;137,6;22,2
28/02/2017;null;22,9
31/03/2017;250;20,3
30/04/2017;157,2;17,4
31/05/2017;310,4;16
30/06/2017;154,6;13,9
31/07/2017;29,2;14,5
31/08/2017;114;15,5
30/09/2017;null;19
31/10/2017;184,2;17,7
30/11/2017;162,4;18,1
31/12/2017;95,4;21,7
31/01/2018;146,6;21,4
28/02/2018;85;21
31/03/2018;82,4;20,4
30/04/2018;82,2;20,3
31/05/2018;118,6;15,5
30/06/2018;179,4;11,7
31/07/2018;163;13,1
31/08/2018;177;12
30/09/2018;221,4;17
31/10/2018;221;17,2
30/11/2018;186,2;20,1
31/12/2018;139,6;21,2
31/01/2019;131,4;23,5
28/02/2019;72,8;21,1
31/03/2019;82,6;19,8
30/04/2019;161;18,9
31/05/2019;null;null
30/06/2019;35,8;16,2
31/07/2019;77,4;12,2
31/08/2019;90,8;13,5
30/09/2019;79;15,4
31/10/2019;258,4;18,5
30/11/2019;157,6;19,9
31/12/2019;33,4;22,3
31/01/2020;148,8;22,1
29/02/2020;68,4;21,5
31/03/2020;33;22,1
30/04/2020;null;18,5
31/05/2020;134,6;14,8
30/06/2020;198,2;14,8
31/07/2020;360,6;11,3
31/08/2020;111,8;14,7
30/09/2020;134,4;16,2
31/10/2020;50;18,1
30/11/2020;39;19,3
31/12/2020;125;21,1
31/01/2021;180,8;21,9
28/02/2021;109,8;20,9
31/03/2021;148,6;20,5
30/04/2021;6,8;18,3
31/05/2021;198;13,1
30/06/2021;167,2;12,1
31/07/2021;35,4;12,2
31/08/2021;117,2;15,2
30/09/2021;157,4;16,4
31/10/2021;105,8;17,2
30/11/2021;40,2;19,6
31/12/2021;31,2;21,5
31/01/2022;81,6;23,9
28/02/2022;100,2;22,4
31/03/2022;177,8;19,9
30/04/2022;154;17,3
31/05/2022;295;12,8
30/06/2022;203;11
31/07/2022;147,8;15,7
31/08/2022;105,4;13,3
30/09/2022;55,6;13,9
31/10/2022;98;16,4
30/11/2022;78,2;18,2
31/12/2022;137,6;21,6
31/01/2023;86,8;23,2
28/02/2023;138,4;21,5
31/03/2023;89,4;22,3
30/04/2023;62,2;17,5
31/05/2023;null;15,8
30/06/2023;null;14,1
31/07/2023;163,8;13,5
31/08/2023;65,8;15,4
30/09/2023;427;17
31/10/2023;232;16,8
30/11/2023;275,8;19,5
31/12/2023;125,6;22
31/01/2024;180,8;21,3
29/02/2024;149,2;23,2
31/03/2024;72,6;21,7
30/04/2024;330,2;19,5
31/05/2024;763;14,4
30/06/2024;343;15,7
31/07/2024;74,2;12,2
31/08/2024;77,4;14,5
30/09/2024;121,8;17,9
31/10/2024;47,8;18,4
30/11/2024;49,8;20,8
31/12/2024;147;19,5
31/01/2025;74;22,4
28/02/2025;26,8;24
31/03/2025;35,6;22,1
30/04/2025;null;17,3
31/05/2025;null;null
